Date,Port of Entry,Region,Mode,Sum of Volume
2018-01-01,2060 - Moncton,Atlantic Region,Air,119
2018-01-01,2110 - St. Stephen: Traffic,Atlantic Region,Land,843
2018-01-01,2114 - St. Stephen: 3rd Bridge,Atlantic Region,Land,364
2018-01-01,2115 - St. Stephen: 3rd Bridge Commercial,Atlantic Region,Land,37
2018-01-01,2340 - Forest City,Atlantic Region,Land,
2018-01-01,3090 - Woburn,Québec Region,Land,95
2018-01-01,4090 - Cornwall: Traffic,Northern Ontario Region,Land,3187
2018-01-01,4101 - Fort Erie: Traffic,Southern Ontario Region,Land,12475
2018-01-08,2060 - Moncton,Atlantic Region,Air,152
2018-01-08,2110 - St. Stephen: Traffic,Atlantic Region,Land,950
2018-01-08,2114 - St. Stephen: 3rd Bridge,Atlantic Region,Land,191
2018-01-08,2115 - St. Stephen: 3rd Bridge Commercial,Atlantic Region,Land,153
2018-01-08,2340 - Forest City,Atlantic Region,Land,
2018-01-08,3090 - Woburn,Québec Region,Land,180
2018-01-08,4090 - Cornwall: Traffic,Northern Ontario Region,Land,2689
2018-01-08,4101 - Fort Erie: Traffic,Southern Ontario Region,Land,5527
2018-01-10,2110 - St. Stephen: Traffic,Atlantic Region,Land,1407
2018-01-10,2114 - St. Stephen: 3rd Bridge,Atlantic Region,Land,199
2018-01-10,2115 - St. Stephen: 3rd Bridge Commercial,Atlantic Region,Land,193
2018-01-10,2340 - Forest City,Atlantic Region,Land,11
2018-01-10,3090 - Woburn,Québec Region,Land,246
2018-01-10,4090 - Cornwall: Traffic,Northern Ontario Region,Land,3525
2018-01-10,4101 - Fort Erie: Traffic,Southern Ontario Region,Land,5682
