Year,BranchCode,Registrations
2012,AB,4939
2012,ACD,1695
2012,AD,445
2012,AG,3166
2012,AH,467
2012,AL,1
2012,AN,918
2012,AP,901
2012,BB,720
2012,BC,1167
2012,BD,820
2012,BE,1525
2012,BF,2303
2012,BKONE,143
2012,BKTWO,110
2012,BL,2798
2012,BR,766
2012,BRW,2015
2012,BUR,955
2012,CC,837
2012,CE,1631
2012,CED,4750
2012,CH,1685
2012,CL,10291
2012,CS,1035
2012,DA,1016
2012,DM,1873
2012,DO,1636
2012,DP,1817
2012,DR,1184
2012,DS,70
2012,DT,275
2012,DU,954
2012,EA,2423
2012,EB,322
2012,EG,524
2012,EN,1820
2012,ES,1392
2012,FH,922
2012,FP,1382
2012,FV,4064
2012,GE,528
2012,GHP,801
2012,GW,380
2012,HB,617
2012,HC,762
2012,HIL,915
2012,HLS,143
2012,HP,953
2012,HS,604
2012,HW,485
2012,JD,1752
2012,JO,535
2012,JS,1034
2012,KE,1430
2012,LB,652
2012,LE,1065
2012,LO,1597
2012,LS,3194
2012,MA,866
2012,MAL,2534
2012,MAS,1806
2012,MCG,1321
2012,MD,3
2012,ME,1
2012,MI,834
2012,MP,510
2012,MRV,994
2012,MS,1146
2012,ND,2755
2012,NE,446
2012,NT,583
2012,OV,600
2012,PA,1397
2012,PE,185
2012,PK,1994
2012,PL,1649
2012,PM,754
2012,PU,819
2012,PV,713
2012,QS,417
2012,RD,986
2012,RI,3082
2012,RN,1782
2012,RX,421
2012,SA,1419
2012,SB,157
2012,SI,306
2012,SJ,1828
2012,SL,915
2012,SP,754
2012,ST,902
2012,SW,88
2012,SWS,1360
2012,TA,443
2012,TH,1555
2012,TOD,157
2012,TRL,8682
2012,VV,427
2012,WE,1092
2012,WP,515
2012,WS,2013
2012,WY,845
2012,YO,1042
2012,YW,3008
2013,AB,4483
2013,ACD,1770
2013,AD,504
2013,AG,3586
2013,AH,501
2013,AL,1
2013,AN,814
2013,AP,911
2013,BB,807
2013,BC,1063
2013,BD,823
2013,BE,1481
2013,BF,1848
2013,BKONE,176
2013,BKTWO,125
2013,BL,2698
2013,BR,2280
2013,BRW,2099
2013,BUR,967
2013,CC,789
2013,CE,1836
2013,CED,4395
2013,CH,1992
2013,CL,11924
2013,CS,950
2013,DA,1110
2013,DM,1898
2013,DO,1920
2013,DP,1844
2013,DR,1326
2013,DS,20
2013,DT,240
2013,DU,954
2013,EA,2285
2013,EB,354
2013,EG,490
2013,EN,2343
2013,ES,1491
2013,FH,890
2013,FP,1399
2013,FV,26
2013,GE,539
2013,GHP,818
2013,GW,336
2013,HB,634
2013,HC,785
2013,HIL,1350
2013,HLS,170
2013,HP,1158
2013,HS,743
2013,HW,482
